지역/연도,2010crime,2010population,2010grand,2010population_density,2010foreigner,2010drink,2010smoke,2010academe,2010grdp,2011crime,2011population,2011grand,2011population_density,2011foreigner,2011drink,2011smoke,2011academe,2011grdp,2012crime,2012population,2012grand,2012population_density,2012foreigner,2012drink,2012smoke,2012academe,2012grdp,2013crime,2013population,2013grand,2013population_density,2013foreigner,2013drink,2013smoke,2013academe,2013grdp,2014crime,2014population,2014grand,2014population_density,2014foreigner,2014drink,2014smoke,2014academe,2014grdp,2015crime,2015population,2015grand,2015population_density,2015foreigner,2015drink,2015smoke,2015academe,2015grdp,2016crime,2016population,2016grand,2016population_density,2016foreigner,2016drink,2016smoke,2016academe,2016grdp
서울/강남,37863,570095,44095,14418,12328,11.3,19.2,3.2,4601,38915,565710,47041,14307,12604,15.2,22.4,3.5,4670,13415,564197,50206,14283,13576,11.6,20.9,3.6,4766,13568,563599,53300,14268,12642,17.4,23.2,3.6,4835,14546,578114,57291,14635,12370,11.3,18.1,3.7,5146,13686,576495,60191,14595,12192,15.7,19.8,3.8,5414,14152,567115,61822,14357,9762,13.9,17.4,3.7,5514
서울/강동,12589,491871,39413,20011,6444,19.9,26.7,1.5,582,13814,495138,42166,20144,7032,22.1,22.3,1.5,603,15066,487905,44850,19842,7908,21.1,23.7,1.5,610,15470,483379,47722,19660,7761,17.4,23.2,1.5,612,16516,476597,50167,19384,7909,16,18.9,1.5,646,15577,458658,51848,18653,8446,17.5,20.4,1.6,640,15140,444168,53121,18063,7006,13.8,19.5,1.6,668
서울/강북,11355,346520,41641,14677,4497,12.5,26,0.8,252,11610,345054,43453,14615,4690,17.8,26,0.7,256,10518,343157,46147,14541,5272,14.9,27.9,0.7,249,12573,338707,48465,14354,5114,19.7,24.1,0.7,246,11941,335025,50755,14198,5188,23.1,27.2,0.7,241,12391,330873,52503,14022,5691,16.6,24.1,0.7,234,12725,327195,53964,13866,5243,19.2,21.5,0.7,246
서울/강서,17778,574127,50189,13861,8309,12.7,22.3,1.2,706,18808,569072,52152,13739,8846,18.4,21.5,1.2,754,10079,567431,55641,13696,9891,14,22.1,1.2,769,10332,569070,59330,13737,10066,16.2,22.2,1.2,794,10386,585160,64117,14125,10384,14.6,22.4,1.1,807,10151,589074,67792,14216,11484,15.8,20.9,1.2,873,9267,595485,70889,14371,10309,14,19.6,1.2,952
서울/관악,16182,531434,50350,17972,21511,18.7,23.8,1,447,17000,526397,52725,17802,23363,15.3,22.4,1.1,458,14796,523029,56238,17688,26950,13.8,24.7,0.9,461,15056,518028,59333,17519,25920,19.1,23,0.9,465,15446,513186,62251,17357,27406,17.5,20.2,0.9,473,14716,509663,64677,17236,31188,18.2,23.7,0.9,470,13869,506851,66659,17141,27794,14.2,22.5,0.9,475
서울/광진,13443,375463,32034,22008,14857,14.7,25.3,1.2,513,13663,371936,33418,21802,16716,19.2,23.3,1.1,518,14605,371313,35539,21765,18979,20.6,23.8,1.2,522,13902,368927,37413,21622,18079,13.6,20.9,1.1,520,13301,363354,38808,21295,18846,16,18.5,1.2,508,13768,360369,40205,21119,21494,16.3,19.3,1.2,503,13659,357215,41292,20935,19231,17.4,20.5,1.2,526
서울/구로,13986,423736,38829,21060,32391,18.2,23.1,1,960,16475,427468,41450,21246,35710,21.1,23.4,1,992,14044,427520,44579,21249,41397,13.2,23.6,0.9,1008,13166,424964,47367,21123,39384,15.2,20.2,1,1013,12979,425831,50615,21166,42909,19.3,21.7,0.9,1006,12917,422092,53146,20980,50787,14.5,19.2,0.9,1017,13329,417551,55159,20754,46229,14.9,22.8,1,1077
서울/금천,9472,245195,23675,18861,21368,22,26.5,1,1130,10740,243438,24761,18726,23688,15.7,23.9,0.9,1232,12796,243288,26476,18714,26682,17.6,25.1,0.9,1234,13470,241020,27948,18516,24898,17.5,24.5,0.9,1231,12730,238463,29243,18315,26621,19.8,23.7,0.9,1221,11972,236284,30745,18148,31569,18.8,23.1,0.9,1222,11615,235386,31976,18080,28434,20.5,25.6,0.9,1326
서울/노원,12631,611230,56977,17247,5630,17.3,24.5,0.6,413,12830,603930,58584,17041,5517,19.2,25,0.8,438,11468,597189,61150,16851,5739,16.4,20,1.1,433,11505,590479,63731,16663,5408,20.7,22.1,1,432,11090,582552,66411,16440,5443,20.7,19.6,1.4,443,11301,574583,68843,16215,5539,20.7,19.5,1.4,445,10857,567581,70819,16016,5444,18,19.9,1.4,461
서울/도봉,8145,368298,38185,17792,3425,16.1,26.9,0.6,228,8463,365573,39781,17661,3382,19.8,23,0.7,232,9448,362270,42230,17501,3498,19.7,26.2,0.9,233,8754,358582,44434,17320,3446,14.3,22.8,0.7,231,8131,353709,46438,17087,3427,16.1,22.4,1.1,234,7945,351242,48553,16960,3578,20.2,18.1,1,234,7618,348220,50466,16848,3213,17.4,22.7,1.1,243
